Identifiant Client;Type de client;Age du client;Situation familiale;Ancienneté;Domiciliation du salaire;Domiciliation de l'épargne;Profession;Moyenne encours;Moyenne des mouvements;Cumul des débits;Autorisation de découvert;Interdiction de chéquier;Score 1;Score 2
0005;Bon client;plus de  50 ans;célibataire;anc. plus   12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;765;700
0011;Bon client;moins de 23 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;465;465
0018;Mauvais client;de 23 à 39 ans;veuf;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  autorisé;chéquier   interdit;680;555
0024;Bon client;de 23 à 39 ans;divorcé;anc. de 1  à 4 ans;Oui domicilié;moins de 10K épargne;employé;plus de 5 K encours;de 30 à 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;560;640
0030;Bon client;moins de 23 ans;célibataire;anc. de 6  à 12 ans;Non domicilié;pas d'épargne;employé;de 2 à 5 K  encours;de 10 à 30K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;575;570
0036;Bon client;de 23 à 39 ans;célibataire;anc. 1 an  ou moins;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;moins 10 K  mouvt;moins de 40  débits;découvert  autorisé;chéquier   autorisé;525;475
0042;Bon client;plus de  50 ans;marié;anc. de 6  à 12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;925;715
0048;Bon client;plus de  50 ans;marié;anc. plus   12 ans;Oui domicilié;pas d'épargne;cadre;de 2 à 5 K  encours;plus de 50K mouvt;moins de 40  débits;découvert  interdit;chéquier   autorisé;925;735
0054;Bon client;de 40 à  50 ans;célibataire;anc. de 1  à 4 ans;Oui domicilié;pas d'épargne;employé;moins de 2K encours;de 30 à 50K mouvt;plus de 100  débits;découvert  autorisé;chéquier   autorisé;565;360
0060;Bon client;plus de  50 ans;célibataire;anc. de 4  à 6 ans;Oui domicilié;pas d'épargne;employé;de 2 à 5 K  encours;plus de 50K mouvt;de 40 à 100  débits;découvert  interdit;chéquier   autorisé;635;605
